Year,Bor,Bur,Lan
1974,0.593333333,-2.021333333,2.272774869
1975,-1.906666667,-0.421333333,-4.527225131
1976,-13.30666667,-17.12133333,-7.727225131
1977,8.393333333,8.178666667,-2.527225131
1978,9.193333333,8.178666667,3.472774869
1979,3.693333333,0.178666667,-3.427225131
1980,9.693333333,13.07866667,6.272774869
1981,-1.806666667,-2.821333333,-1.427225131
1982,-11.30666667,-7.921333333,-7.727225131
1983,1.193333333,-0.921333333,-4.527225131
1984,2.193333333,7.578666667,2.272774869
1985,-2.306666667,0.178666667,-4.527225131
1986,1.693333333,-2.321333333,-1.727225131
1987,2.693333333,2.078666667,-2.727225131
1988,2.193333333,-3.821333333,-6.727225131
1989,-24.80666667,-12.82133333,-16.82722513
1990,-16.80666667,-6.821333333,-16.12722513
1991,-0.306666667,-0.921333333,-10.52722513
1992,-5.306666667,-9.621333333,-7.727225131
1993,-8.806666667,-10.42133333,-8.727225131
1994,-12.80666667,-10.72133333,-16.92722513
1995,-12.80666667,-4.421333333,-14.02722513
1996,-7.306666667,-5.721333333,-5.327225131
1997,-13.30666667,-15.02133333,-14.52722513
1998,-10.30666667,-8.821333333,-7.527225131
1999,-21.80666667,-10.82133333,-6.427225131
2000,-9.306666667,-14.72133333,-4.927225131
2001,-7.306666667,-6.821333333,-13.92722513
2002,0.693333333,-10.72133333,-8.627225131
2003,-30.30666667,-37.02133333,-17.02722513
2004,-13.90666667,-4.421333333,-6.927225131
2005,-30.90666667,-13.42133333,-9.027225131
2006,-9.906666667,-10.92133333,-17.02722513
2007,,,-14.42722513
